,position,homeAway,tries,tryassists,points,kicks,passes,runs,metres,cleanbreaks,defendersbeaten,offload,lineoutwonsteal,turnoversconceded,tackles,missedtackles,lineoutswon,penaltiesconceded,yellowcards,redcards,penalties,penaltygoals,conversiongoals,dropgoalsconverted,finalScore
145,5,0,0,0,0,0,2,5,13,0,1,0,0,1,14,1,0,0,0,0,0,0,0,0,0
146,5,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
147,3,0,0,0,0,0,3,7,9,0,0,0,0,1,18,2,0,1,0,0,0,0,0,0,0
148,3,0,0,0,0,0,5,6,35,1,2,0,0,0,13,1,0,1,0,0,0,0,0,0,0
149,6,0,0,0,0,0,2,11,29,0,1,1,0,0,25,1,0,1,0,0,0,0,0,0,0
150,1,1,0,0,0,0,5,12,24,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1
151,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152,0,1,0,0,0,0,1,2,5,1,0,1,0,1,4,0,0,0,0,0,0,0,0,0,1
153,0,1,0,0,0,0,0,4,17,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,1
154,9,1,0,0,0,0,4,8,25,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
155,2,1,0,0,8,0,9,3,2,0,1,0,0,3,5,0,0,0,0,0,2,2,1,0,1
156,8,1,0,0,0,0,32,5,25,0,1,1,0,2,4,1,0,3,1,0,0,0,0,0,1
157,7,1,1,0,5,0,4,6,7,0,0,1,0,0,4,0,0,3,0,0,0,0,0,0,1
158,4,1,0,0,0,0,1,13,17,1,0,0,0,2,11,1,6,0,0,0,0,0,0,0,1
159,7,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1
160,5,1,0,0,0,0,1,3,1,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,1
161,5,1,0,0,0,0,2,3,4,0,0,0,0,0,10,1,0,2,0,0,0,0,0,0,1
162,3,1,0,0,0,0,0,3,12,0,0,0,0,0,12,1,0,2,0,0,0,0,0,0,1
163,3,1,0,0,0,0,2,6,9,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,1
164,6,1,0,0,0,0,3,12,10,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,1
165,1,0,0,0,0,0,4,8,60,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
166,9,0,0,0,0,0,1,7,32,2,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,2,4,1,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,1,7,37,1,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0
169,9,0,0,0,0,0,4,7,51,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
170,2,0,0,0,12,0,15,7,13,0,0,0,0,1,2,0,0,0,0,0,4,4,0,0,0
171,8,0,0,0,0,0,64,6,10,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0
172,7,0,0,0,0,0,1,10,11,0,1,0,0,1,10,0,0,2,0,0,0,0,0,0,0
173,4,0,0,0,0,0,2,5,2,0,0,0,0,2,12,0,10,3,1,0,0,0,0,0,0
174,7,0,0,0,0,0,0,3,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
175,5,0,0,0,0,0,3,10,7,0,1,0,0,2,15,0,0,1,0,0,0,0,0,0,0
176,5,0,0,0,0,0,1,5,1,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0
177,3,0,0,0,0,0,0,2,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
178,3,0,0,0,0,0,1,4,9,0,1,0,0,0,5,1,0,2,0,0,0,0,0,0,0
179,6,0,0,0,0,0,1,13,64,1,2,0,0,0,12,1,0,0,0,0,0,0,0,0,0
180,1,1,0,1,0,0,9,12,83,2,6,1,0,1,3,0,0,0,0,0,0,0,0,0,0
